Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
anthracene;octanol;C1=CC=C2C=C3C=CC=CC3=CC2=C1;CCCCCCCCO;-10.47
o-cresol;bromobenzene;CC1=CC=CC=C1O;C1=CC=C(C=C1)Br;-7.26
tetrahydropyran;chloroform;C1CCOCC1;C(Cl)(Cl)Cl;-5.84
tetrahydropyran;octanol;C1CCOCC1;CCCCCCCCO;-4.21
1-pentanol;xylene;CCCCCO;CC1=CC=C(C=C1)C;-4.72
1-octanol;hexadecane;CCCCCCCCO;CCCCCCCCCCCCCCCC;-6.3
p-cresol;decanol;CC1=CC=C(C=C1)O;CCCCCCCCCCO;-8.91
aniline;bromobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)Br;-6.66
t-butanol;carbontet;CC(C)(C)O;C(Cl)(Cl)(Cl)Cl;-3.4
nitromethane;tetrahydrothiophenedioxide;C[N+](=O)[O-];C1CCS(=O)(=O)C1;-5.28
diethylsulfide;chloroform;CCSCC;C(Cl)(Cl)Cl;-6.4
n-hexane;hexadecyliodide;CCCCCC;CCCCCCCCCCCCCCCCI;-3.26
methylpropanoate;dichloroethane;CCC(=O)OC;CC(Cl)Cl;-4.87
1-pentanol;water;CCCCCO;O;-4.47
methylacetate;octanol;CC(=O)OC;CCCCCCCCO;-3.54
p-bromophenol;chloroform;C1=CC(=CC=C1O)Br;C(Cl)(Cl)Cl;-8.59
1-butene;hexadecane;CCC=C;CCCCCCCCCCCCCCCC;-2.03
1-pentanol;bromoform;CCCCCO;C(Br)(Br)Br;-5.34
m-hydroxybenzaldehyde;octanol;C1=CC(=CC(=C1)O)C=O;CCCCCCCCO;-11.39
ethanol;mcresol;CCO;CC1=CC(=CC=C1)O;-5.58
1,4-dioxane;water;C1COCCO1;O;-5.05
2-butanone;hexadecane;CCC(=O)C;CCCCCCCCCCCCCCCC;-3.12
p-dibromobenzene;octanol;C1=CC(=CC=C1Br)Br;CCCCCCCCO;-7.47
1-pentanol;pentane;CCCCCO;CCCCC;-3.92
chlorobenzene;diethylether;C1=CC=C(C=C1)Cl;CCOCC;-5.42
2-butanone;isooctane;CCC(=O)C;CC(C)CC(C)(C)C;-3.4
methanol;dibromoethane;CO;CC(Br)Br;-2.38
1-butanol;dibromoethane;CCCCO;CC(Br)Br;-4.65
aniline;butylacetate;C1=CC=C(C=C1)N;CCCCCC(=O)[O-];-7.3
methylhexanoate;water;CCCCCC(=O)OC;O;-2.49
butylacetate;carbontet;CCCCCC(=O)[O-];C(Cl)(Cl)(Cl)Cl;-5.59
methylhexanoate;cyclohexane;CCCCCC(=O)OC;C1CCCCC1;-5.75
n-octane;hexane;CCCCCCCC;CCCCCC;-5.46
2-methyl-1-nitrobenzene;carbontet;CC1=CC=CC=C1[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-7.49
butylamine;secbutanol;CCCCN;CCC(C)O;-5.52
dimethyl4-bromo-2,5-dichlorophenylthiophosphate;water;CCOP(=S)(OCC)SCSCC;O;-5.7
ethanethiol;hexadecane;CCS;CCCCCCCCCCCCCCCC;-2.96
butanoicacid;diethylether;CCCC(=O)O;CCOCC;-7.32
fluorobenzene;hexadecane;C1=CC=C(C=C1)F;CCCCCCCCCCCCCCCC;-4.03
uracil;diethylether;C1=CNC(=O)NC1=O;CCOCC;-15.03
hydrogensulfide;diethylether;[SH-];CCOCC;-0.6
ethanol;benzene;CCO;C1=CC=CC=C1;-3.42
1,1,1-trifluoropropan-2-ol;octanol;CC(C(F)(F)F)O;CCCCCCCCO;-5.12
4-ethylpyridine;water;CCC1=CC=NC=C1;O;-4.74
n-octane;aceticacid;CCCCCCCC;CC(=O)O;-3.93
allylalcohol;chloroform;C=CCO;C(Cl)(Cl)Cl;-4.34
2-ethylpyrazine;octane;CCC1=NC=CN=C1;CCCCCCCC;-5.51
methylacetate;tetrachloroethene;CC(=O)OC;C(=C(Cl)Cl)(Cl)Cl;-3.63
piperidine;isobutanol;C1CCNCC1;CC(C)CO;-6.17
1,1-difluoroethane;octanol;CC(F)F;CCCCCCCCO;-1.13
2-pentanone;xylene;CCCC(=O)C;CC1=CC=C(C=C1)C;-4.87
acetophenone;heptane;CC(=O)C1=CC=CC=C1;CCCCCCC;-6.14
pyridine;butylacetate;C1=CC=NC=C1;CCCCCC(=O)[O-];-5.31
butanal;water;CCCC=O;O;-3.18
hydrogenperoxide;water;OO;O;-8.58
phenacetin;water;CCOC1=CC=C(C=C1)NC(=O)C;O;-10.91
chloroform;isooctane;C(Cl)(Cl)Cl;CC(C)CC(C)(C)C;-3.06
propylamine;hexane;CCCN;CCCCCC;-3.13
3-pentanone;water;CCC(=O)CC;O;-3.41
propylacetate;chlorohexane;CCCOC(=O)C;CCCCCCCl;-4.84
acetamide;diethylether;CC(=O)N;CCOCC;-6.16
1-hexanol;butylacetate;CCCCCCO;CCCCCC(=O)[O-];-6.62
t-butanol;water;CC(C)(C)O;O;-4.51
1,4,5,8-tetraminoanthraquinone;water;C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N;O;-8.9
1,1,2-trichloroethane;water;C(C(Cl)Cl)Cl;O;-1.95
n-decane;decane;CCCCCCCCCC;CCCCCCCCCC;-6.53
3-methylaniline;water;CC1=CC(=CC=C1)N;O;-5.67
nitrobenzene;benzene;C1=CC=C(C=C1)[N+](=O)[O-];C1=CC=CC=C1;-7.6
bromoform;hexane;C(Br)(Br)Br;CCCCCC;-4.38
1,4-dioxane;dimethylsulfoxide;C1COCCO1;CS(=O)C;-4.9
bromobenzene;chloroform;C1=CC=C(C=C1)Br;C(Cl)(Cl)Cl;-6.07
propylamine;octanol;CCCN;CCCCCCCCO;-4.77
n-octane;carbontet;CCCCCCCC;C(Cl)(Cl)(Cl)Cl;-5.39
2-pentanone;benzene;CCCC(=O)C;C1=CC=CC=C1;-5.14
1,4-dioxane;benzene;C1COCCO1;C1=CC=CC=C1;-5.21
hydrogen;hexadecane;[HH];CCCCCCCCCCCCCCCC;1.64
propylamine;decanol;CCCN;CCCCCCCCCCO;-4.59
piperidine;diethylether;C1CCNCC1;CCOCC;-4.82
dibromomethane;water;C(Br)Br;O;-2.11
N,N,4-trimethylbenzamide;water;CC1=CC=C(C=C1)C(=O)N(C)C;O;-9.76
m-hydroxybenzaldehyde;cyclohexane;C1=CC(=CC(=C1)O)C=O;C1CCCCC1;-6.88
aceticacid;aceticacid;CC(=O)O;CC(=O)O;-5.3
1-heptanol;ethylacetate;CCCCCCCO;CCOC(=O)C;-7.56
propylacetate;pentane;CCCOC(=O)C;CCCCC;-4.21
4-methylaniline;hexadecane;CC1=CC=C(C=C1)N;CCCCCCCCCCCCCCCC;-6.04
ethanol;isopropylbenzene;CCO;CC(C)C1=CC=CC=C1;-2.9
methylbenzoate;carbontet;COC(=O)C1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-7.19
ethylbenzene;hexadecane;CCC1=CC=CC=C1;CCCCCCCCCCCCCCCC;-5.15
1-propanol;nonane;CCCO;CCCCCCCCC;-2.76
o-xylene;hexadecane;CC1=CC=CC=C1C;CCCCCCCCCCCCCCCC;-5.37
toluene;bromoethane;CC1=CC=CC=C1;CCBr;-5.55
1-hexanol;water;CCCCCCO;O;-4.36
aceticacid;aniline;CC(=O)O;C1=CC=C(C=C1)N;-6.3
tetrahydrofuran;hexadecane;C1CCOC1;CCCCCCCCCCCCCCCC;-3.6
ethylacetate;pentane;CCOC(=O)C;CCCCC;-3.69
2-methoxybenzoicacid;water;COC1=CC=CC=C1C(=O)O;O;-10.32
butylacetate;pentadecane;CCCCCC(=O)[O-];CCCCCCCCCCCCCCC;-4.49
N-methylaniline;decalin;CNC1=CC=CC=C1;C1CCC2CCCCC2C1;-6.41
pentanoicacid;water;CCCCC(=O)O;O;-6.16
1,1,2-trichloro-1,2,2-trifluoroethane;water;C(C(F)(Cl)Cl)(F)(F)Cl;O;1.77
2-heptanone;tetralin;CCCCCC(=O)C;C1CCC2=CC=CC=C2C1;-5.33
water;cyclohexane;O;C1CCCCC1;-0.39
methylamine;toluene;CN;CC1=CC=CC=C1;-2.65
n-hexane;water;CCCCCC;O;2.49
4-methylaniline;benzene;CC1=CC=C(C=C1)N;C1=CC=CC=C1;-7.59
2-chloropropane;water;CC(C)Cl;O;-0.25
1-bromo-1-chloro-2,2,2-trifluoroethane;water;C(C(F)(F)F)(Cl)Br;O;-0.13
2-butanone;fluorobenzene;CCC(=O)C;C1=CC=C(C=C1)F;-4.6
1,4-dioxane;benzonitrile;C1COCCO1;C1=CC=C(C=C1)C#N;-5.14
1,4-dioxane;aceticacid;C1COCCO1;CC(=O)O;-5.8
propylacetate;xylene;CCCOC(=O)C;CC1=CC=C(C=C1)C;-4.87
piperidine;xylene;C1CCNCC1;CC1=CC=C(C=C1)C;-5.15
2-butanone;cyclohexanone;CCC(=O)C;C1CCC(=O)CC1;-4.42
4-methylaniline;octane;CC1=CC=C(C=C1)N;CCCCCCCC;-6.0
ethene;water;C=C;O;1.27
butylamine;octane;CCCCN;CCCCCCCC;-3.44
1-butanol;tributylphosphate;CCCCO;CCCCOP(=O)(OCCCC)OCCCC;-6.28
aniline;hexadecane;C1=CC=C(C=C1)N;CCCCCCCCCCCCCCCC;-5.44
methylpentanoate;tetrachloroethene;CCCCC(=O)OC;C(=C(Cl)Cl)(Cl)Cl;-5.41
n-octane;dimethylacetamide;CCCCCCCC;CC(=O)N(C)C;-3.94
phenol;carbontet;C1=CC=C(C=C1)O;C(Cl)(Cl)(Cl)Cl;-6.14
n-propane;hexadecane;CCC;CCCCCCCCCCCCCCCC;-1.43
trimethylamine;xylene;CN(C)C;CC1=CC=C(C=C1)C;-2.63
butanal;octanol;CCCC=O;CCCCCCCCO;-4.62
nitrobenzene;heptane;C1=CC=C(C=C1)[N+](=O)[O-];CCCCCCC;-6.14
5-bromouracil;diethylether;C1=C(C(=O)NC(=O)N1)Br;CCOCC;-17.01
3,4-dimethylpyridine;hexadecane;CC1=C(C=NC=C1)C;CCCCCCCCCCCCCCCC;-2.58
cyclopentanone;water;C1CCC(=O)C1;O;-4.68
propylamine;iodobenzene;CCCN;C1=CC=C(C=C1)I;-3.54
butylamine;isopropylbenzene;CCCCN;CC(C)C1=CC=CC=C1;-4.06
2-hexanone;carbontet;CCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-5.47
dichloromethane;water;C(Cl)Cl;O;-1.36
methanol;octane;CO;CCCCCCCC;-1.29
fluorotrichloromethane;chloroform;C(F)(Cl)(Cl)Cl;C(Cl)(Cl)Cl;-2.62
1-hexanol;decane;CCCCCCO;CCCCCCCCCC;-4.97
p-bromophenol;bromobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)Br;-8.49
4-methylaniline;hexane;CC1=CC=C(C=C1)N;CCCCCC;-6.18
aniline;cyclohexane;C1=CC=C(C=C1)N;C1CCCCC1;-5.52
m-hydroxybenzaldehyde;diethylether;C1=CC(=CC(=C1)O)C=O;CCOCC;-11.36
aceticacid;butanone;CC(=O)O;CCC(=O)C;-6.88
p-dibromobenzene;water;C1=CC(=CC=C1Br)Br;O;-2.3
diethyl2,4-dichlorophenylthiophosphate;water;C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-3.86
methylcyclohexane;water;CC1CCCCC1;O;1.71
nitromethane;benzonitrile;C[N+](=O)[O-];C1=CC=C(C=C1)C#N;-5.05
propylacetate;octanol;CCCOC(=O)C;CCCCCCCCO;-4.55
2-hexanone;tetralin;CCCCC(=O)C;C1CCC2=CC=CC=C2C1;-4.64
1-heptanol;heptanol;CCCCCCCO;CCCCCCCO;-7.84
hydrazine;benzene;NN;C1=CC=CC=C1;-4.02
toluene;propanol;CC1=CC=CC=C1;CCCO;-4.47
tripropylphosphate;heptane;CCCOP(=O)(OCCC)OCCC;CCCCCCC;-7.5
methylacetate;tbutylbenzene;CC(=O)OC;CC(C)(C)C1=CC=CC=C1;-3.57
1-hexanol;pentane;CCCCCCO;CCCCC;-4.97
benzene;undecane;C1=CC=CC=C1;CCCCCCCCCCC;-4.05
5-fluorouracil;chloroform;C1=C(C(=O)NC(=O)N1)F;C(Cl)(Cl)Cl;-14.31
5-iodouracil;octanol;C1=C(C(=O)NC(=O)N1)I;CCCCCCCCO;-18.77
4-methylaniline;decane;CC1=CC=C(C=C1)N;CCCCCCCCCC;-6.05
ethanol;aceticacid;CCO;CC(=O)O;-5.25
propanoicacid;isopropylbenzene;CCC(=O)O;CC(C)C1=CC=CC=C1;-4.23
fluorobenzene;hexane;C1=CC=C(C=C1)F;CCCCCC;-4.15
nitromethane;hexane;C[N+](=O)[O-];CCCCCC;-2.9
hydrogensulfide;chloroform;[SH-];C(Cl)(Cl)Cl;-0.51
methylpropanoate;isopropyltoluene;CCC(=O)OC;CC1=CC=CC=C1C(C)C;-4.14
anisole;heptane;COC1=CC=CC=C1;CCCCCCC;-5.35
chloroethane;hexadecane;CCCl;CCCCCCCCCCCCCCCC;-2.29
aniline;benzene;C1=CC=C(C=C1)N;C1=CC=CC=C1;-6.88
isopropanol;cyclohexane;CC(C)O;C1CCCCC1;-2.37
bromoethane;bromoethane;CCBr;CCBr;-3.67
methanol;chlorobenzene;CO;C1=CC=C(C=C1)Cl;-2.44
butylamine;iodobenzene;CCCCN;C1=CC=C(C=C1)I;-4.19
2-butanone;chlorohexane;CCC(=O)C;CCCCCCCl;-4.1
ethane;octanol;CC;CCCCCCCCO;-0.64
butylacetate;nonane;CCCCCC(=O)[O-];CCCCCCCCC;-4.69
ethylacetate;decane;CCOC(=O)C;CCCCCCCCCC;-3.43
dipropylamine;xylene;CCCNCCC;CC1=CC=C(C=C1)C;-5.35
4-methylaniline;chlorobenzene;CC1=CC=C(C=C1)N;C1=CC=C(C=C1)Cl;-7.54
phosphoricacid[(E)-2-chloro-1-(2,4-dichlorophenyl)vinyl]diethylester(chlorfenvinphos);water;CCOP(=O)(OCC)OC(=CCl)C1=C(C=C(C=C1)Cl)Cl;O;-7.1
methanol;butylacetate;CO;CCCCCC(=O)[O-];-3.04
a-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-o-toluicacid(bensulfuron);water;COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)O)OC;O;-17.2
2,6-dimethylpyridine;hexadecane;CC1=NC(=CC=C1)C;CCCCCCCCCCCCCCCC;-5.27
O,O-diethyl-O-4-nitro-phenylthiophosphate(parathion);water;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-];O;-6.7
methylacetate;chloroform;CC(=O)OC;C(Cl)(Cl)Cl;-4.9
methylacetate;chlorobenzene;CC(=O)OC;C1=CC=C(C=C1)Cl;-4.0
isobutylnitrate;water;CC(C)CO[N+](=O)[O-];O;-1.9
pentylacetate;bromooctane;CCCCCOC(=O)C;CCCCCCCCBr;-5.81
methylpentanoate;hexane;CCCCC(=O)OC;CCCCCC;-4.94
dimethylamine;chloroform;CNC;C(Cl)(Cl)Cl;-3.69
uracil;water;C1=CNC(=O)NC1=O;O;-16.59
o-cresol;pentanol;CC1=CC=CC=C1O;CCCCCO;-8.57
cyanuricacid;water;C1(=O)NC(=O)NC(=O)N1;O;-18.06
1-butyne;hexadecane;CCC#C;CCCCCCCCCCCCCCCC;-2.07
dipropylamine;water;CCCNCCC;O;-3.66
n-octane;bromobenzene;CCCCCCCC;C1=CC=C(C=C1)Br;-5.02
1,4-dioxane;toluene;C1COCCO1;CC1=CC=CC=C1;-4.91
m-cresol;dichloroethane;CC1=CC(=CC=C1)O;CC(Cl)Cl;-6.91
4-heptanone;hexadecane;CCCC(=O)CCC;CCCCCCCCCCCCCCCC;-5.2
allylalcohol;hexadecane;C=CCO;CCCCCCCCCCCCCCCC;-2.73
m-bis(trifluoromethyl)benzene;water;C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F;O;1.07
1,4-dioxane;decane;C1COCCO1;CCCCCCCCCC;-3.97
toluene;chloroform;CC1=CC=CC=C1;C(Cl)(Cl)Cl;-5.48
N,N-dimethylformamide;octanol;CN(C)C=O;CCCCCCCCO;-6.14
O,O-dimethylS-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl]dithiophosphate(azinphosmethyl);water;COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1;O;-10.0
2-methylpyridine;octanol;CC1=CC=CC=N1;CCCCCCCCO;-6.14
o-cresol;hexadecane;CC1=CC=CC=C1O;CCCCCCCCCCCCCCCC;-5.78
p-bromophenol;ethylbenzene;C1=CC(=CC=C1O)Br;CCC1=CC=CC=C1;-8.54
butylacetate;decalin;CCCCCC(=O)[O-];C1CCC2CCCCC2C1;-4.71
2-methylpyridine;water;CC1=CC=CC=N1;O;-4.63
butanoicacid;benzene;CCCC(=O)O;C1=CC=CC=C1;-5.3
3,3-dimethylbutanone;trimethylbenzene;CC(=O)C(C)(C)C;CC1=C(C(=CC=C1)C)C;-4.8
propanoicacid;isobutanol;CCC(=O)O;CC(C)CO;-6.98
ethanol;diethylether;CCO;CCOCC;-4.41
ketoprofen(racemic);octanol;CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O;CCCCCCCCO;-15.04
methylpentanoate;water;CCCCC(=O)OC;O;-2.57
nitromethane;ethylacetate;C[N+](=O)[O-];CCOC(=O)C;-5.06
phenol;butylbenzene;C1=CC=C(C=C1)O;CCCCC1=CC=CC=C1;-6.76
propanoicacid;butanol;CCC(=O)O;CCCCO;-7.17
hydrogensulfide;hexadecane;[SH-];CCCCCCCCCCCCCCCC;-0.72
n-octane;benzonitrile;CCCCCCCC;C1=CC=C(C=C1)C#N;-4.34
1,2-dichlorobenzene;water;C1=CC=C(C(=C1)Cl)Cl;O;-1.36
2-hexanone;decane;CCCCC(=O)C;CCCCCCCCCC;-4.61
p-xylene;heptane;CC1=CC=C(C=C1)C;CCCCCCC;-5.52
ethylbenzene;undecane;CCC1=CC=CC=C1;CCCCCCCCCCC;-5.44
methylpentanoate;fluoroctane;CCCCC(=O)OC;CCCCCCC(C)F;-5.33
1,2-diethoxyethane;water;CCOCCOCC;O;-3.54
ethylbenzene;nonanol;CCC1=CC=CC=C1;CCCCCCCCCO;-4.61
ethylacetate;octane;CCOC(=O)C;CCCCCCCC;-3.48
benzene;chloroform;C1=CC=CC=C1;C(Cl)(Cl)Cl;-4.64
pentylacetate;toluene;CCCCCOC(=O)C;CC1=CC=CC=C1;-6.41
phenol;xylene;C1=CC=C(C=C1)O;CC1=CC=C(C=C1)C;-6.83
methylpentanoate;ethylbenzene;CCCCC(=O)OC;CCC1=CC=CC=C1;-5.56
benzaldehyde;dichloroethane;C1=CC=C(C=C1)C=O;CC(Cl)Cl;-7.23
2-butanone;nonane;CCC(=O)C;CCCCCCCCC;-3.2
2,2,2-trifluorethylvinylether;water;CCC(C)N1C(=O)C(=C(NC1=O)C)Br;O;-0.12
aceticacid;secbutanol;CC(=O)O;CCC(C)O;-6.81
ethylacetate;xylene;CCOC(=O)C;CC1=CC=C(C=C1)C;-4.26
phenol;cyclohexane;C1=CC=C(C=C1)O;C1CCCCC1;-5.57
propanoicacid;decalin;CCC(=O)O;C1CCC2CCCCC2C1;-4.42
p-cresol;heptanol;CC1=CC=C(C=C1)O;CCCCCCCO;-9.16
toluene;xylene;CC1=CC=CC=C1;CC1=CC=C(C=C1)C;-5.06
2,2',3'-trichlorobiphenyl;octanol;CCC(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-];CCCCCCCCO;-9.12
propylamine;benzene;CCCN;C1=CC=CC=C1;-3.68
ethene;octanol;C=C;CCCCCCCCO;-0.27
n-octane;benzylalcohol;CCCCCCCC;C1=CC=C(C=C1)CO;-3.77
benzene;cyclohexane;C1=CC=CC=C1;C1CCCCC1;-4.19
2-methylpyridine;cyclohexane;CC1=CC=CC=N1;C1CCCCC1;-5.05
o-xylene;water;CC1=CC=CC=C1C;O;-0.9
1-propanol;hexadecane;CCCO;CCCCCCCCCCCCCCCC;-2.77
ethylbenzene;ethylbenzene;CCC1=CC=CC=C1;CCC1=CC=CC=C1;-5.67
trimethylamine;diisopropylether;CN(C)C;CC(C)OC(C)C;-2.74
nitrobenzene;carbontet;C1=CC=C(C=C1)[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-6.92
methylamine;water;CN;O;-4.56
n-octane;diisopropylether;CCCCCCCC;CC(C)OC(C)C;-5.38
secbutanol;secbutanol;CCC(C)O;CCC(C)O;-5.48
trimethylphosphate;hexane;COP(=O)(OC)OC;CCCCCC;-5.82
nitromethane;methylenechloride;C[N+](=O)[O-];C(Cl)Cl;-5.05
p-bromophenol;octanol;C1=CC(=CC=C1O)Br;CCCCCCCCO;-10.59
hexanoicacid;heptane;CCCCCC(=O)O;CCCCCCC;-6.54
ethanol;benzylalcohol;CCO;C1=CC=C(C=C1)CO;-4.84
dimethyldisulfide;hexadecane;CSSC;CCCCCCCCCCCCCCCC;-4.84
2,2-dichloroethenyldimethylphosphate;benzene;COP(=O)(OC)OC=C(Cl)Cl;C1=CC=CC=C1;-9.09
1-propanol;propanol;CCCO;CCCO;-5.29
iodoethane;hexadecane;CCI;CCCCCCCCCCCCCCCC;-3.51
3-pentanone;octanol;CCC(=O)CC;CCCCCCCCO;-4.36
methylhexanoate;chloroform;CCCCCC(=O)OC;C(Cl)(Cl)Cl;-7.24
ethanol;methoxyethanol;CCO;COCCO;-4.71
2-iodopropane;water;CC(C)I;O;-0.46
propanal;hexadecane;CCC=O;CCCCCCCCCCCCCCCC;-2.48
1,4-dioxane;dimethylpyridine;C1COCCO1;CC1=C(N=CC=C1)C;-4.9
2-hexanone;benzene;CCCCC(=O)C;C1=CC=CC=C1;-5.76
hexanoicacid;chloroform;CCCCCC(=O)O;C(Cl)(Cl)Cl;-7.51
nitromethane;acetonitrile;C[N+](=O)[O-];CC#N;-5.62
1,1-dimethyl-3-phenylurea;octanol;CN(C)C(=O)NC1=CC=CC=C1;CCCCCCCCO;-13.12
iodoethane;water;CCI;O;-0.72
1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene(heptachlor);water;C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl;O;-2.6
ethylacetate;water;CCOC(=O)C;O;-3.1
ethylacetate;chloroform;CCOC(=O)C;C(Cl)(Cl)Cl;-5.58
1-hexanol;tributylphosphate;CCCCCCO;CCCCOP(=O)(OCCCC)OCCCC;-7.68
butylamine;ethylbenzene;CCCCN;CCC1=CC=CC=C1;-4.43
allylalcohol;water;C=CCO;O;-5.08
o-xylene;carbontet;CC1=CC=CC=C1C;C(Cl)(Cl)(Cl)Cl;-6.07
2-methoxyethanol;diethylether;COCCO;CCOCC;-5.12
trimethylamine;benzene;CN(C)C;C1=CC=CC=C1;-2.8
butylacetate;toluene;CCCCCC(=O)[O-];CC1=CC=CC=C1;-5.57
propylamine;ethylbenzene;CCCN;CCC1=CC=CC=C1;-3.44
3-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)thiophene-2-carboxylicacid(thifensulfuron);water;CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)O;O;-16.2
1,1,1-trichloroethane;octanol;CC(Cl)(Cl)Cl;CCCCCCCCO;-3.69
1,4-dioxane;hexane;C1COCCO1;CCCCCC;-4.08
methylacetate;fluoroctane;CC(=O)OC;CCCCCCC(C)F;-3.59
thiophene;hexadecane;C1=CSC=C1;CCCCCCCCCCCCCCCC;-4.01
butylacetate;benzene;CCCCCC(=O)[O-];C1=CC=CC=C1;-5.78
tetrahydrofuran;octanol;C1CCOC1;CCCCCCCCO;-3.93
pentylacetate;hexadecane;CCCCCOC(=O)C;CCCCCCCCCCCCCCCC;-5.2
benzonitrile;chloroform;C1=CC=C(C=C1)C#N;C(Cl)(Cl)Cl;-7.22
benzaldehyde;diethylether;C1=CC=C(C=C1)C=O;CCOCC;-6.08
ethylamine;decane;CCN;CCCCCCCCCC;-1.92
diethylamine;pentanol;CCNCC;CCCCCO;-5.3
butanoicacid;water;CCCC(=O)O;O;-6.36
phenol;decanol;C1=CC=C(C=C1)O;CCCCCCCCCCO;-8.58
1,1,1,3,3,3-hexafluoropropan-2-ol;octanol;C(C(F)(F)F)(C(F)(F)F)O;CCCCCCCCO;-5.76
hydrogenperoxide;toluene;OO;CC1=CC=CC=C1;-3.14
1-chloropentane;water;CCCCCCl;O;0.07
ethanol;methylformamide;CCO;CNC=O;-5.12
bromomethane;water;CBr;O;-0.82
ethanol;aniline;CCO;C1=CC=C(C=C1)N;-4.45
2-pentanone;chlorobenzene;CCCC(=O)C;C1=CC=C(C=C1)Cl;-5.29
n-heptane;hexadecyliodide;CCCCCCC;CCCCCCCCCCCCCCCCI;-3.9
E-2-pentene;carbontet;CC(C)(C=NOC(=O)NC)SC;C(Cl)(Cl)(Cl)Cl;-3.46
ethylacetate;hexadecane;CCOC(=O)C;CCCCCCCCCCCCCCCC;-3.25
propanoicacid;toluene;CCC(=O)O;CC1=CC=CC=C1;-4.57
1-nitropropane;octane;CCC[N+](=O)[O-];CCCCCCCC;-3.95
4-methoxybenzoicacid;water;COC1=CC=C(C=C1)C(=O)O;O;-9.15
naphthalene;octanol;C1=CC=C2C=CC=CC2=C1;CCCCCCCCO;-6.97
N,N-dimethylformamide;cyclohexane;CN(C)C=O;C1CCCCC1;-3.82
methylpentanoate;chlorobenzene;CCCCC(=O)OC;C1=CC=C(C=C1)Cl;-5.83
dipropylsulfide;water;CCCSCCC;O;-1.27
aceticacid;dichloroethane;CC(=O)O;CC(Cl)Cl;-4.89
3-methoxybenzoicacid;water;COC1=CC=CC(=C1)C(=O)O;O;-8.93
benzaldehyde;octanol;C1=CC=C(C=C1)C=O;CCCCCCCCO;-6.13
pyridine;4methyl2pentanone;C1=CC=NC=C1;CC(C)CC(=O)C;-5.33
methanol;octanol;CO;CCCCCCCCO;-3.87
bis(2-chloroethyl)ether;water;C(CCl)OCCCl;O;-4.23
1-butene;isooctane;CCC=C;CC(C)CC(C)(C)C;-2.26
dibromomethane;octanol;C(Br)Br;CCCCCCCCO;-4.18
methylacetate;bromooctane;CC(=O)OC;CCCCCCCCBr;-3.35
acetonitrile;octanol;CC#N;CCCCCCCCO;-3.15
nitromethane;chloroform;C[N+](=O)[O-];C(Cl)(Cl)Cl;-4.68
difluorodichloromethane;water;C(F)(F)(Cl)Cl;O;1.69
1-pentanol;hexane;CCCCCO;CCCCCC;-4.38
1,2-dichlorobenzene;undecane;C1=CC=C(C(=C1)Cl)Cl;CCCCCCCCCCC;-6.11
ethane;hexadecane;CC;CCCCCCCCCCCCCCCC;-0.67
methylbutanoate;hexadecane;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-];CCCCCCCCCCCCCCCC;-4.01
1-propanol;toluene;CCCO;CC1=CC=CC=C1;-3.71
ethanol;methylenechloride;CCO;C(Cl)Cl;-3.82
pentylacetate;ethylbenzene;CCCCCOC(=O)C;CCC1=CC=CC=C1;-6.2
n-undecane;undecane;CCCCCCCCCCC;CCCCCCCCCCC;-7.22
hexanoicacid;dichloroethane;CCCCCC(=O)O;CC(Cl)Cl;-7.33
trimethylphosphate;carbontet;COP(=O)(OC)OC;C(Cl)(Cl)(Cl)Cl;-7.24
propanoicacid;bromoethane;CCC(=O)O;CCBr;-5.52
5-bromouracil;chloroform;C1=C(C(=O)NC(=O)N1)Br;C(Cl)(Cl)Cl;-15.03
p-cresol;isooctane;CC1=CC=C(C=C1)O;CC(C)CC(C)(C)C;-5.59
